Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
22,Exit long,2014-07-14,Close entry(s) order Long,14.67,450354,6259920.6,346772.6,5.54,1080849.6,17.27,-279219.47,-4.46,5570676.5,557.07
22,Entry long,2014-05-27,Long,13.9,450354,6259920.6,346772.6,5.54,1080849.6,17.27,-279219.47,-4.46,5570676.5,557.07
23,Exit long,2014-09-19,Close entry(s) order Long,17.2,422551,6604472.13,663405.06,10.04,1605693.8,24.31,-33804.08,-0.51,6234081.5,623.41
23,Entry long,2014-08-04,Long,15.63,422551,6604472.13,663405.06,10.04,1605693.8,24.31,-33804.08,-0.51,6234081.5,623.41
24,Exit long,2014-12-03,Close entry(s) order Long,15.08,432143,7195180.95,-678464.5,-9.43,293857.25,4.08,-678464.5,-9.43,5555617,555.56
24,Entry long,2014-11-12,Long,16.65,432143,7195180.95,-678464.5,-9.43,293857.25,4.08,-678464.5,-9.43,5555617,555.56
25,Exit long,2015-02-19,Close entry(s) order Long,13.67,449939,6596105.74,-445439.62,-6.75,166477.44,2.52,-796392,-12.07,5110177.5,511.02
25,Entry long,2015-02-05,Long,14.66,449939,6596105.74,-445439.62,-6.75,166477.44,2.52,-796392,-12.07,5110177.5,511.02
26,Exit long,2015-03-02,Close entry(s) order Long,13.51,422265,6072170.7,-367370.56,-6.05,71785.05,1.18,-392706.44,-6.47,4742807,474.28
26,Entry long,2015-02-23,Long,14.38,422265,6072170.7,-367370.56,-6.05,71785.05,1.18,-392706.44,-6.47,4742807,474.28
27,Exit long,2015-07-15,Close entry(s) order Long,17.78,414942,5767693.8,1609975,27.91,2045664,35.47,-136930.86,-2.37,6352782,635.28
27,Entry long,2015-04-09,Long,13.9,414942,5767693.8,1609975,27.91,2045664,35.47,-136930.86,-2.37,6352782,635.28
28,Exit long,2015-07-28,Close entry(s) order Long,17.05,419200,7382112,-234752,-3.18,628800,8.52,-373088,-5.05,6118030,611.80
