Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
16,Exit long,2013-03-11,根据B死叉平仓A,385.28,3476,1311355.76,27877.52,2.13,28989.84,2.21,-25965.72,-1.98,343741.7,34.37
16,Entry long,2013-02-26,根据B金叉买入A,377.26,3476,1311355.76,27877.52,2.13,28989.84,2.21,-25965.72,-1.98,343741.7,34.37
17,Exit long,2013-03-28,根据B死叉平仓A,393.24,3432,1346682.48,2917.2,0.22,16164.72,1.20,-15821.52,-1.17,346658.88,34.67
17,Entry long,2013-03-19,根据B金叉买入A,392.39,3432,1346682.48,2917.2,0.22,16164.72,1.20,-15821.52,-1.17,346658.88,34.67
18,Exit long,2013-10-16,根据B死叉平仓A,426.23,3160,1343000,3886.8,0.29,7552.4,0.56,-17696,-1.32,350545.7,35.05
18,Entry long,2013-10-15,根据B金叉买入A,425,3160,1343000,3886.8,0.29,7552.4,0.56,-17696,-1.32,350545.7,35.05
19,Exit long,2013-12-11,根据B死叉平仓A,470.86,3121,1324708.45,144845.61,10.93,186354.9,14.07,-7271.93,-0.55,495391.28,49.54
19,Entry long,2013-10-24,根据B金叉买入A,424.45,3121,1324708.45,144845.61,10.93,186354.9,14.07,-7271.93,-0.55,495391.28,49.54
20,Exit long,2014-05-06,根据B死叉平仓A,534.95,2827,1494917.6,17386.05,1.16,34489.4,2.31,-52610.47,-3.52,512777.34,51.28
20,Entry long,2014-03-26,根据B金叉买入A,528.8,2827,1494917.6,17386.05,1.16,34489.4,2.31,-52610.47,-3.52,512777.34,51.28
21,Exit long,2014-05-27,根据B死叉平仓A,541,2849,1507121,34188,2.27,50427.3,3.35,-34786.29,-2.31,546965.3,54.70
21,Entry long,2014-05-09,根据B金叉买入A,529,2849,1507121,34188,2.27,50427.3,3.35,-34786.29,-2.31,546965.3,54.70
22,Exit long,2014-08-04,根据B死叉平仓A,514.38,2899,1555922.29,-64734.67,-4.16,0,0.00,-90999.61,-5.85,482230.66,48.22
22,Entry long,2014-07-14,根据B金叉买入A,536.71,2899,1555922.29,-64734.67,-4.16,0,0.00,-90999.61,-5.85,482230.66,48.22
23,Exit long,2014-11-12,根据B死叉平仓A,571,2784,1492307.52,97356.48,6.52,102367.68,6.86,-122774.4,-8.23,579587.1,57.96
23,Entry long,2014-09-19,根据B金叉买入A,536.03,2784,1492307.52,97356.48,6.52,102367.68,6.86,-122774.4,-8.23,579587.1,57.96
24,Exit long,2015-02-05,根据B死叉平仓A,605.96,2697,1578985.62,55288.5,3.50,112842.48,7.15,-42936.24,-2.72,634875.6,63.49
24,Entry long,2014-12-03,根据B金叉买入A,585.46,2697,1578985.62,55288.5,3.50,112842.48,7.15,-42936.24,-2.72,634875.6,63.49
25,Exit long,2015-02-23,根据B死叉平仓A,625,2645,1643814.6,9310.4,0.57,9310.4,0.57,-23064.4,-1.40,644186.06,64.42
25,Entry long,2015-02-19,根据B金叉买入A,621.48,2645,1643814.6,9310.4,0.57,9310.4,0.57,-23064.4,-1.40,644186.06,64.42
26,Exit long,2015-04-09,根据B死叉平仓A,696.56,2558,1643310.36,138490.12,8.43,147161.73,8.96,-6190.36,-0.38,782676.2,78.27
26,Entry long,2015-03-02,根据B金叉买入A,642.42,2558,1643310.36,138490.12,8.43,147161.73,8.96,-6190.36,-0.38,782676.2,78.27
27,Exit long,2015-07-16,根据B死叉平仓A,684.89,2635,1787346.85,17338.3,0.97,17338.3,0.97,-12753.4,-0.71,800014.5,80.00
27,Entry long,2015-07-15,根据B金叉买入A,678.31,2635,1787346.85,17338.3,0.97,17338.3,0.97,-12753.4,-0.71,800014.5,80.00
28,Exit long,2015-09-11,根据B死叉平仓A,716,2669,1803042.95,107961.05,5.99,211785.16,11.75,-22819.95,-1.27,907975.5,90.80
28,Entry long,2015-07-28,根据B金叉买入A,675.55,2669,1803042.95,107961.05,5.99,211785.16,11.75,-22819.95,-1.27,907975.5,90.80
29,Exit long,2015-11-10,根据B死叉平仓A,782.05,2575,1931250,82528.75,4.27,137118.75,7.10,-57396.75,-2.97,990504.25,99.05
29,Entry long,2015-10-05,根据B金叉买入A,750,2575,1931250,82528.75,4.27,137118.75,7.10,-57396.75,-2.97,990504.25,99.05
30,Exit long,2015-11-23,根据B死叉平仓A,783.35,2635,1984523.9,79603.35,4.01,87086.75,4.39,-4848.4,-0.24,1070107.6,107.01
30,Entry long,2015-11-16,根据B金叉买入A,753.14,2635,1984523.9,79603.35,4.01,87086.75,4.39,-4848.4,-0.24,1070107.6,107.01
31,Exit long,2015-12-18,根据B死叉平仓A,759.91,2722,2079716.88,-11241.86,-0.54,6451.14,0.31,-33208.4,-1.60,1058865.8,105.89
31,Entry long,2015-12-15,根据B金叉买入A,764.04,2722,2079716.88,-11241.86,-0.54,6451.14,0.31,-33208.4,-1.60,1058865.8,105.89
32,Exit long,2016-02-29,根据B死叉平仓A,784.5,2797,2058480.12,135766.38,6.60,144101.44,7.00,-153695.16,-7.47,1194632.1,119.46
32,Entry long,2016-01-08,根据B金叉买入A,735.96,2797,2058480.12,135766.38,6.60,144101.44,7.00,-153695.16,-7.47,1194632.1,119.46
33,Exit long,2016-06-08,根据B死叉平仓A,758.34,2797,2181660,-60583.02,-2.78,29144.74,1.34,-133640.66,-6.13,1134049.1,113.40
33,Entry long,2016-05-04,根据B金叉买入A,780,2797,2181660,-60583.02,-2.78,29144.74,1.34,-133640.66,-6.13,1134049.1,113.40
34,Exit long,2016-06-22,根据B死叉平仓A,751.64,2861,2165977.27,-15535.23,-0.72,3089.88,0.14,-36363.31,-1.68,1118513.9,111.85
34,Entry long,2016-06-20,根据B金叉买入A,757.07,2861,2165977.27,-15535.23,-0.72,3089.88,0.14,-36363.31,-1.68,1118513.9,111.85
35,Exit long,2016-07-12,根据B死叉平仓A,811.34,2801,2129992.44,142570.9,6.69,165539.1,7.77,-52994.92,-2.49,1261084.8,126.11
35,Entry long,2016-06-23,根据B金叉买入A,760.44,2801,2129992.44,142570.9,6.69,165539.1,7.77,-52994.92,-2.49,1261084.8,126.11
36,Exit long,2016-10-05,根据B死叉平仓A,763.28,2863,2254812.91,-69542.27,-3.08,22904,1.02,-187268.83,-8.31,1191542.5,119.15
36,Entry long,2016-08-17,根据B金叉买入A,787.57,2863,2254812.91,-69542.27,-3.08,22904,1.02,-187268.83,-8.31,1191542.5,119.15
37,Exit long,2016-11-30,根据B死叉平仓A,790.66,2866,2192404.02,73627.54,3.36,128425.46,5.86,-127594.32,-5.82,1265170,126.52
37,Entry long,2016-10-11,根据B金叉买入A,764.97,2866,2192404.02,73627.54,3.36,128425.46,5.86,-127594.32,-5.82,1265170,126.52
38,Exit long,2016-12-12,根据B死叉平仓A,802.47,2901,2272237.26,55728.21,2.45,88306.44,3.89,-31649.91,-1.39,1320898.2,132.09
38,Entry long,2016-12-02,根据B金叉买入A,783.26,2901,2272237.26,55728.21,2.45,88306.44,3.89,-31649.91,-1.39,1320898.2,132.09
39,Exit long,2017-03-21,根据B死叉平仓A,731.02,3151,2331771.51,-28327.49,-1.21,28043.9,1.20,-109371.21,-4.69,1292570.8,129.26
39,Entry long,2017-03-01,根据B金叉买入A,740.01,3151,2331771.51,-28327.49,-1.21,28043.9,1.20,-109371.21,-4.69,1292570.8,129.26
40,Exit long,2017-03-29,根据B死叉平仓A,717.21,3161,2306708.14,-39607.33,-1.72,6796.15,0.29,-74157.06,-3.21,1252963.5,125.30
40,Entry long,2017-03-22,根据B金叉买入A,729.74,3161,2306708.14,-39607.33,-1.72,6796.15,0.29,-74157.06,-3.21,1252963.5,125.30
41,Exit long,2017-05-30,根据B死叉平仓A,621.8,3875,2252072.5,157402.5,6.99,157402.5,6.99,-28597.5,-1.27,1410366,141.04
41,Entry long,2017-05-24,根据B金叉买入A,581.18,3875,2252072.5,157402.5,6.99,157402.5,6.99,-28597.5,-1.27,1410366,141.04
42,Exit long,2017-08-08,根据B死叉平仓A,547.58,4663,2396828.63,156536.9,6.53,178919.31,7.46,-106689.44,-4.45,1566902.9,156.69
42,Entry long,2017-07-06,根据B金叉买入A,514.01,4663,2396828.63,156536.9,6.53,178919.31,7.46,-106689.44,-4.45,1566902.9,156.69
43,Exit long,2017-09-12,根据B死叉平仓A,538.47,4749,2576285.01,-19090.98,-0.74,6838.56,0.27,-31010.97,-1.20,1547811.9,154.78
43,Entry long,2017-09-11,根据B金叉买入A,542.49,4749,2576285.01,-19090.98,-0.74,6838.56,0.27,-31010.97,-1.20,1547811.9,154.78
44,Exit long,2017-12-12,根据B死叉平仓A,710.86,4339,2555106.93,529314.6,20.72,756851.75,29.62,-121708.95,-4.76,2077126.5,207.71
44,Entry long,2017-09-27,根据B金叉买入A,588.87,4339,2555106.93,529314.6,20.72,756851.75,29.62,-121708.95,-4.76,2077126.5,207.71
45,Exit long,2018-01-09,根据B死叉平仓A,767.92,4325,3099035.5,222218.5,7.17,284974.25,9.20,-9039.25,-0.29,2299345,229.93
45,Entry long,2018-01-02,根据B金叉买入A,716.54,4325,3099035.5,222218.5,7.17,284974.25,9.20,-9039.25,-0.29,2299345,229.93
46,Exit long,2018-02-26,根据B死叉平仓A,730,4591,3323195.35,28234.65,0.85,122120.6,3.67,-200259.42,-6.03,2327579.8,232.76
46,Entry long,2018-02-09,根据B金叉买入A,723.85,4591,3323195.35,28234.65,0.85,122120.6,3.67,-200259.42,-6.03,2327579.8,232.76
47,Exit long,2018-05-03,根据B死叉平仓A,631.68,5005,3286883.6,-125325.2,-3.81,31231.2,0.95,-330129.8,-10.04,2202254.5,220.23
47,Entry long,2018-03-07,根据B金叉买入A,656.72,5005,3286883.6,-125325.2,-3.81,31231.2,0.95,-330129.8,-10.04,2202254.5,220.23
48,Exit long,2018-06-05,根据B死叉平仓A,659.54,4942,3200587.46,58859.22,1.84,308232.53,9.63,-250213.45,-7.82,2261113.8,226.11
48,Entry long,2018-05-17,根据B金叉买入A,647.63,4942,3200587.46,58859.22,1.84,308232.53,9.63,-250213.45,-7.82,2261113.8,226.11
49,Exit long,2018-08-07,根据B死叉平仓A,728.48,4782,3266679.84,216911.52,6.64,216911.52,6.64,-31800.3,-0.97,2478025.2,247.80
49,Entry long,2018-07-09,根据B金叉买入A,683.12,4782,3266679.84,216911.52,6.64,216911.52,6.64,-31800.3,-0.97,2478025.2,247.80
50,Exit long,2018-09-28,根据B死叉平仓A,779.41,4534,3470595.64,63249.3,1.82,103556.56,2.98,-260750.34,-7.51,2541274.5,254.13
50,Entry long,2018-08-22,根据B金叉买入A,765.46,4534,3470595.64,63249.3,1.82,103556.56,2.98,-260750.34,-7.51,2541274.5,254.13
51,Exit long,2018-10-02,根据B死叉平仓A,769.54,4565,3544631.2,-31681.1,-0.89,12416.8,0.35,-34648.35,-0.98,2509593.5,250.96
51,Entry long,2018-10-01,根据B金叉买入A,776.48,4565,3544631.2,-31681.1,-0.89,12416.8,0.35,-34648.35,-0.98,2509593.5,250.96
52,Exit long,2018-10-26,根据B死叉平仓A,734.13,4595,3497622.1,-124294.75,-3.55,153932.5,4.40,-258101.16,-7.38,2385298.8,238.53
